Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,270500,2,-25500,-8.61,291000,296500,266000,38075487,10667342314779,1581418363464000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,1819000,2,-151000,-7.66,1950000,1995000,1789000,7485233,14133100318500,1296405601935000,712702365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1098000,2,-73000,-6.23,1181000,1190000,1073000,1042701,1190443444000,144890307828000,131958386,STK
005935,KR7005931001,삼성전자우,KOSPI,,179400,2,-14300,-7.38,190200,193700,175500,4947949,913617635000,143945393818200,802371203,STK
005380,KR7005380001,현대차,KOSPI,,700000,2,-12000,-1.69,725000,774500,678000,4332789,3146296513000,143330436200000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,417000,2,-25000,-5.66,450000,470000,410500,798242,345510349000,97578000000000,234000000,STK
009150,KR7009150004,삼성전기,KOSPI,,1010000,2,-14000,-1.37,1061000,1133000,980000,1329154,1409914089500,75440632960000,74693696,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,110800,2,-6300,-5.38,118800,118900,108400,5217764,589100258500,70974174976800,640561146,STK
329180,KR7329180004,HD현대중공업,KOSPI,,640000,2,-31000,-4.62,678000,679000,620000,600876,389266733000,67175184000000,104961225,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1419000,2,-30000,-2.07,1443000,1469000,1400000,82235,117967643500,65686859469000,46290951,STK
000270,KR7000270009,기아,KOSPI,,168000,2,-10100,-5.67,178200,184200,164900,2839184,494807461750,65589383664000,390412998,STK
028260,KR7028260008,삼성물산,KOSPI,,396500,2,-45500,-10.29,435000,439500,389000,712137,291503793750,64300000966500,162168981,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1216000,2,-90000,-6.89,1300000,1304000,1210000,208586,258949686500,62701095616000,51563401,STK
032830,KR7032830002,삼성생명,KOSPI,,310000,2,-20000,-6.06,332000,339500,300000,665867,208546493250,62000000000000,200000000,STK
105560,KR7105560007,KB금융,KOSPI,,155600,2,-400,-0.26,157500,159700,153300,1530297,239806393800,58015530798000,372850455,STK
012330,KR7012330007,현대모비스,KOSPI,,629000,2,-21000,-3.23,671000,685000,610000,1010628,653615069964,57070794707000,90732583,STK
006400,KR7006400006,삼성SDI,KOSPI,,614000,2,-22000,-3.46,629000,668000,603000,1100294,702349828000,49479515420000,80585530,STK
055550,KR7055550008,신한지주,KOSPI,,95100,2,-1700,-1.76,96600,97300,93100,1544275,146456009850,45139629731100,474654361,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,1179000,2,-88000,-6.95,1267000,1276000,1153000,184128,220508633500,42499572165000,36047135,STK
068270,KR7068270008,셀트리온,KOSPI,,188800,2,-6300,-3.23,195500,195500,186700,769091,146506894050,41901943676800,221938261,STK
066570,KR7066570003,LG전자,KOSPI,,240500,1,23500,10.83,256000,266500,233000,5856267,1437746860500,39173755439000,162884638,STK
006800,KR7006800007,미래에셋증권,KOSPI,,69900,2,-2400,-3.32,75000,77400,67600,4453979,319477204600,39113724912000,559566880,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,259000,2,-21000,-7.5,278000,278500,253000,1471082,387229563750,38850000000000,150000000,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,467500,2,-19000,-3.91,487500,505000,457000,713593,342747062750,37045413872500,79241527,STK
034730,KR7034730002,SK,KOSPI,,503000,2,-38000,-7.02,541000,558000,492000,245797,126995906000,36468859609000,72502703,STK
042660,KR7042660001,한화오션,KOSPI,,118100,2,-2300,-1.91,121600,124300,116500,2595567,313268634000,36187421831400,306413394,STK
042700,KR7042700005,한미반도체,KOSPI,,369000,2,-40500,-9.89,405000,406000,365000,1042610,401247356000,35170201800000,95312200,STK
298040,KR7298040007,효성중공업,KOSPI,,3745000,2,-280000,-6.96,3982000,3985000,3676000,70467,268732083000,34920432260000,9324548,STK
086790,KR7086790003,하나금융지주,KOSPI,,119000,2,-7500,-5.93,125100,126000,118100,1047927,126236729350,32649762012000,274367748,STK
035420,KR7035420009,NAVER,KOSPI,,203500,2,-9500,-4.46,215000,216500,201000,997805,208052660000,31923813416000,156873776,STK
010130,KR7010130003,고려아연,KOSPI,,1426000,2,-85000,-5.63,1513000,1514000,1400000,29341,42598420500,29764853794000,20872969,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,416000,2,-21500,-4.91,438500,440000,406000,321212,135570145250,29441616256000,70773116,STK
051910,KR7051910008,LG화학,KOSPI,,374000,2,-18500,-4.71,393000,409500,367000,407694,156634604250,26401536282000,70592343,STK
000150,KR7000150003,두산,KOSPI,,1614000,2,-89000,-5.23,1697000,1814000,1573000,122070,208341653000,26136849690000,16193835,STK
010140,KR7010140002,삼성중공업,KOSPI,,29300,2,-850,-2.82,30850,30850,28750,8257612,244721818950,25784000000000,880000000,STK
015760,KR7015760002,한국전력,KOSPI,,38750,2,-900,-2.27,39900,40400,38250,3102994,121427742450,24876107983750,641964077,STK
000810,KR7000810002,삼성화재,KOSPI,,554000,1,16000,2.97,550000,570000,542000,254102,140991514625,24734700042000,44647473,STK
316140,KR7316140003,우리금융지주,KOSPI,,31250,2,-550,-1.73,31750,32500,30800,2136318,67195515650,22939885000000,734076320,STK
064350,KR7064350002,현대로템,KOSPI,,201500,2,-11000,-5.18,213500,213500,197800,505763,103533246700,21992172039500,109142293,STK
017670,KR7017670001,SK텔레콤,KOSPI,,101300,2,-1400,-1.36,103000,105200,100100,1013036,103567291400,21758232368900,214790053,STK
267250,KR7267250009,HD현대,KOSPI,,269500,2,-9500,-3.41,282500,295000,265000,224943,62821652000,21288636407500,78993085,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,235500,2,-15000,-5.99,252500,263000,231000,455373,111213895250,20946834810000,88946220,STK
096770,KR7096770003,SK이노베이션,KOSPI,,123500,2,-3200,-2.53,130000,136400,122200,1140726,148162856400,20878019318000,169052788,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,369000,2,-16000,-4.16,396500,405000,361000,706370,269636914000,19753988067000,53533843,KSQ
272210,KR7272210006,한화시스템,KOSPI,,104300,2,-11800,-10.16,115000,115100,102900,1061441,113764610150,19704292272700,188919389,STK
035720,KR7035720002,카카오,KOSPI,,44000,2,-1950,-4.24,46400,46400,43300,2235112,100099359975,19496898828000,443111337,STK
