old_name,new_name
LIG넥스원,LIG디펜스앤에어로스페이스
금호석유,금호석유화학
엔씨소프트,NC
아모레G,아모레퍼시픽홀딩스
휠라홀딩스,미스토홀딩스
현대엘리베이,현대엘리베이터
효성첨단소재,HS효성첨단소재
DGB금융지주,iM금융지주
HDC현대산업개발,IPARK현대산업개발
HD현대건설기계,HD건설기계
백광산업,PKC
티웨이항공,트리니티항공
SPC삼립,삼립
STX중공업,HD현대마린엔진
맵스리얼티1,맵스리얼티
젬백스링크,포니링크
지오릿에너지,앱튼
이베스트투자증권,LS증권
예스코홀딩스,INVENI
이지스밸류리츠,이지스밸류플러스리츠
디이엔티,APS이노베이션
국전약품,국전
유비케어,GC메디아이
삼화페인트,SP삼화
씨어스테크놀로지,씨어스
금호석유우,금호석유화학우
KG모빌리언스,KG파이낸셜
나스미디어,KT나스미디어
아티스트유나이티드,아티스트컴퍼니
보광산업,HC보광산업
윈스,윈스테크넷
웨스트라이즈,인크레더블버즈
영풍정밀,KZ정밀
DB금융투자,DB증권
한국전자금융,NICE인프라
엔케이맥스,엔케이젠바이오텍코리아
이에이트,E8
브랜드엑스코퍼레이션,젝시믹스
이노와이어리스,LIG아큐버
에스제이지세종,SJG세종
동양철관,KBI동양철관
지니뮤직,KT지니뮤직
이노시스,시지메드텍
아모레G3우(전환),아모레퍼시픽홀딩스3우C
삼기이브이,삼기에너지솔루션즈
골프존뉴딘홀딩스,골프존홀딩스
스카이문스테크놀로지,피노
삼양통상,SYTS
코웰패션,로젠
율호,멤레이비티
덕양산업,디와이덕양
밀리의서재,KT밀리의서재
홈센타홀딩스,HC홈센타
래몽래인,아티스트스튜디오
KIB플러그에너지,DKME
휴센텍,솔디펜스
이엠코리아,신화프리텍
농우바이오,NH농우바이오
수산중공업,수산세보틱스
와이팜,PS일렉트로닉스
제이스텍,제이스로보틱스
동아화성,SY동아
디바이스이엔지,디바이스
우수AMS,스모트로닉
네온테크,지아이에스
엠투아이,엠엑스온
케이피에스,킵스파마
에스퓨얼셀,에스프리즘
라온테크,라온로보틱스
에스엠코어,엠엑스로보틱스
인스웨이브시스템즈,인스웨이브
화성산업,HS화성
윈텍,한울반도체
블리츠웨이스튜디오,블리츠웨이엔터테인먼트
제주맥주,한울앤제주
아이티센,아이티센글로벌
스피어파워,아크솔루션스
성안머티리얼스,우성머티리얼스
애니젠,HLB펩
제노포커스,HLB제넥스
아이엘사이언스,아이엘
동양피스톤,DYP
SCI평가정보,서울평가정보
티라유텍,LS티라유텍
AP헬스케어,앱토크롬
KCI,삼양케이씨아이
에스메디,메타케어
맥스트,비트맥스
콤텍시스템,아이티센씨티에스
액션스퀘어,넥써쓰
고려시멘트,강동씨앤엘
상상인인더스트리,KS인더스트리
에코바이오,에코심플렉스
아모레G우,아모레퍼시픽홀딩스우
파수,파수AI
영풍제지,블루산업개발
클리노믹스,셀레스트라
대림B&Co,대림바스
아이에스이커머스,엑시온그룹
하이소닉,케이이엠텍
미코바이오메드,롤링스톤
딥마인드,사토시홀딩스
에이디엠코리아,페니트리움바이오
대유에이텍,디와이에이
대우부품,아진전자부품
성보화학,SB성보
엔피디,캐프
TKG애강,티케이지애강
CBI,THE CUBE&
ITX-AI,DGI
에스씨엠생명과학,풍전약품
소니드,제이케이시냅스
클라우드에어,에이치엠넥스
씨유박스,시선AI
TPC,TPC로보틱스
우리이앤엘,우리이앤엘하루틴
대명소노시즌,소노스퀘어
씨티프라퍼티,오션인더블유
엔터파트너즈,한주에이알티
브릿지바이오테라퓨틱스,파라택시스코리아
오하임앤컴퍼니,조이웍스앤코
바른손,졸스
쌍용정보통신,아이티센엔텍
빅텐츠,캔버스엔
디엔에이링크,제이에스링크
유투바이오,지구홀딩스
애머릿지,파이온엑스
엔지스테크널러지,다산디엠씨
룽투코리아,스타코링크
에스에이티이엔지,넥사다이내믹스
이노룰스,이노에이엑스
네오펙트,다이나믹솔루션
유니온커뮤니티,유니온바이오메트릭스
이스트아시아홀딩스,딥커머스
알파홀딩스,알파칩스
비트나인,SKAI
포커스에이치엔에스,포커스에이아이
나노브릭,나노실리칸첨단소재
넥스턴바이오,넥스턴앤롤코리아
대성파인텍,디에스엠
바이오로그디바이스,포톤
국동,온타이드
블레이드 Ent,빌리언스
굿센,아이티센코어
아이윈플러스,알엔티엑스
신시웨이,파라택시스이더리움
모코엠시스,이노테나
DGP,에이전트AI
협진,앤로보틱스
제이준코스메틱,차AI헬스케어
스킨앤스킨,에코글로우
서울리거,코스리거글로벌
대유플러스,DH오토넥스
도부마스크,도부
케이바이오,케이바이오랩스
캐리소프트,에피소드컴퍼니
SGA,비트플래닛
솔고바이오,알파AI
라이프시맨틱스,스피어
하이트론,엑시큐어하이트론
피피아이,한국첨단소재
에스유홀딩스,디에이치엑스컴퍼니
에이아이더뉴트리진,인터로이드
위니아에이드,큐에이드
관악산업,지에이이노더스
까스텔바작,형지글로벌
시큐센,아이티센피엔에스
스타리츠,스타에스엠리츠
유진스팩8호,씨피시스템
와이오엠,아이로보틱스
아이오케이,아이오케이이엔엠
휴림네트웍스,오늘이엔엠
동일철강,동일스틸럭스
한솔인티큐브,인티큐브
퀀텀온,프로브잇
로보쓰리에이아이,솔루믹스
키움제8호스팩,지슨
에이원알폼,에이원큐브텍
뿌리깊은나무들,레드우즈
