rank,Code,Name,Marcap,Market
1,005930,삼성전자,1645727428152000,KOSPI
2,000660,SK하이닉스,1263751791450000,KOSPI
3,402340,SK스퀘어,148150649754000,KOSPI
4,009150,삼성전기,98296903936000,KOSPI
5,005380,현대차,84974472890000,KOSPI
6,373220,LG에너지솔루션,80379000000000,KOSPI
7,207940,삼성바이오로직스,71797265001000,KOSPI
8,028260,삼성물산,64137278285500,KOSPI
9,012450,한화에어로스페이스,55946290085000,KOSPI
10,000270,기아,51105061438200,KOSPI
11,329180,HD현대중공업,47547434925000,KOSPI
12,034020,두산에너빌리티,46953132001800,KOSPI
13,012330,현대모비스,45003361168000,KOSPI
14,068270,셀트리온,44732282944800,KOSPI
15,006400,삼성SDI,38519883340000,KOSPI
16,035420,NAVER,34849023870000,KOSPI
17,066570,LG전자,31681062091000,KOSPI
18,010120,LS ELECTRIC,28050000000000,KOSPI
19,267260,HD현대일렉트릭,25881842930000,KOSPI
20,010130,고려아연,25819862653000,KOSPI
21,042660,한화오션,25800007774800,KOSPI
22,298040,효성중공업,25372095108000,KOSPI
23,009540,HD한국조선해양,24664430926000,KOSPI
24,017670,SK텔레콤,21951543416600,KOSPI
25,096770,SK이노베이션,21097787942400,KOSPI
26,011200,HMM,20373940152000,KOSPI
27,042700,한미반도체,20349154700000,KOSPI
28,033780,KT&G,17886541568800,KOSPI
29,051910,LG화학,17824566607500,KOSPI
30,010140,삼성중공업,17776000000000,KOSPI
31,018260,삼성에스디에스,17642138400000,KOSPI
32,000150,두산,17456954130000,KOSPI
33,267250,HD현대,16825527105000,KOSPI
34,010950,S-Oil,15885431951200,KOSPI
35,035720,카카오,15858722306000,KOSPI
36,079550,LIG디펜스앤에어로스페이스,15290000000000,KOSPI
37,086280,현대글로비스,14752500000000,KOSPI
38,278470,에이피알,14413689675000,KOSPI
39,064350,현대로템,14199412319300,KOSPI
40,003670,포스코퓨처엠,13777769478000,KOSPI
41,272210,한화시스템,13281033046700,KOSPI
42,030200,KT,13205936294000,KOSPI
43,011070,LG이노텍,13016908850000,KOSPI
44,047810,한국항공우주,12671763910000,KOSPI
45,307950,현대오토에버,12285943936000,KOSPI
46,000720,현대건설,11759168784000,KOSPI
47,003230,삼양식품,10290098490000,KOSPI
48,259960,크래프톤,10242598926000,KOSPI
49,003490,대한항공,9500093053800,KOSPI
50,047050,포스코인터내셔널,8901693072800,KOSPI
