,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,82100,1,900,1.11,81500,82200,81200,15636581,1277382060700,490119147355000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,237500,1,4000,1.71,233500,238000,231000,1946949,457635765500,172900561687500,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,340500,2,-2500,-0.73,343000,346000,340500,75946,26006884000,79677000000000,234000000,STK
3,005380,KR7005380001,현대차,KOSPI,,285500,2,-1000,-0.35,285500,288000,282500,466264,132850777500,59788322530500,209416191,STK
4,207940,KR7207940008,삼성바이오로직스,KOSPI,,748000,2,-7000,-0.93,753000,756000,748000,18534,13899207000,53238152000000,71174000,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,64200,1,800,1.26,63700,64300,63200,1026021,65430743000,52829326140000,822886700,STK
6,000270,KR7000270009,기아,KOSPI,,130100,2,-2200,-1.66,131400,131600,128700,877749,114151336300,52021580051700,399858417,STK
7,068270,KR7068270008,셀트리온,KOSPI,,180700,2,-2700,-1.47,183200,183200,180700,236009,42875722400,39210675396100,216993223,STK
8,105560,KR7105560007,KB금융,KOSPI,,80800,1,1900,2.41,78800,81000,78600,546189,43746399400,32603694617600,403511072,STK
9,005490,KR7005490008,POSCO홀딩스,KOSPI,,371500,2,-1500,-0.4,372000,373500,370000,155454,57712921000,31418211945000,84571230,STK
10,035420,KR7035420009,NAVER,KOSPI,,167300,2,-600,-0.36,167500,169700,166500,462888,77514221950,27170957776200,162408594,STK
11,006400,KR7006400006,삼성SDI,KOSPI,,391000,2,-1500,-0.38,390000,395000,388500,159098,62296810500,26886931230000,68764530,STK
12,051910,KR7051910008,LG화학,KOSPI,,363000,1,3500,0.97,359500,366000,358000,166291,60292522500,25625020509000,70592343,STK
13,055550,KR7055550008,신한지주,KOSPI,,47600,1,1250,2.7,46350,47700,46350,537745,25356867850,24247116986400,509393214,STK
14,028260,KR7028260008,삼성물산,KOSPI,,135300,2,-100,-0.07,135100,135900,134300,122884,16627206000,24054189677100,177784107,STK
15,012330,KR7012330007,현대모비스,KOSPI,,239000,2,-3000,-1.24,238500,241500,236500,157115,37560312500,22225827466000,92995094,STK
16,003670,KR7003670007,포스코퓨처엠,KOSPI,,262000,2,-5500,-2.06,267500,271000,261000,161870,42927692500,20295363640000,77463220,STK
17,035720,KR7035720002,카카오,KOSPI,,42500,2,-300,-0.7,42550,42800,42200,575757,24499687700,18844299400000,443395280,STK
18,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,189500,2,-4600,-2.37,194200,199000,189400,628205,121119286700,18533354688000,97801344,KSQ
19,066570,KR7066570003,LG전자,KOSPI,,108600,1,600,0.56,107200,109000,106700,1004467,108556272500,17772152600400,163647814,STK
20,086790,KR7086790003,하나금융지주,KOSPI,,60100,1,1100,1.86,59200,60200,58800,393822,23468043800,17570631539800,292356598,STK
21,032830,KR7032830002,삼성생명,KOSPI,,87700,1,300,0.34,86600,88200,86400,139811,12232667200,17540000000000,200000000,STK
22,042700,KR7042700005,한미반도체,KOSPI,,179000,1,2000,1.13,177400,182100,176000,860742,154290548900,17361860486000,96993634,STK
23,000810,KR7000810002,삼성화재,KOSPI,,356500,1,12000,3.48,342000,359000,340000,68287,24084945500,16889129390500,47374837,STK
24,138040,KR7138040001,메리츠금융지주,KOSPI,,77800,1,1100,1.43,76400,78000,76100,152803,11843563800,14838024869200,190720114,STK
25,259960,KR7259960003,크래프톤,KOSPI,,291000,1,1000,0.34,287500,294500,284500,82751,24007425000,13935467073000,47888203,STK
26,011200,KR7011200003,HMM,KOSPI,,19130,1,620,3.35,18600,19750,18590,5917896,113580789470,13563925558480,709039496,STK
27,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,252000,2,-3000,-1.18,255000,259500,250000,567119,143966535500,13393429056000,53148528,KSQ
28,034020,KR7034020008,두산에너빌리티,KOSPI,,20850,2,-300,-1.42,21200,21300,20600,7199459,150760730250,13355699894100,640561146,STK
29,402340,KR7402340004,SK스퀘어,KOSPI,,97900,2,-600,-0.61,97300,98400,94700,354171,34048030100,13192021084000,134749960,STK
30,015760,KR7015760002,한국전력,KOSPI,,20000,2,-100,-0.5,20100,20200,19980,765319,15348345040,12839281540000,641964077,STK
31,003550,KR7003550001,LG,KOSPI,,81000,2,-700,-0.86,81700,81800,80400,98475,7976362500,12741380433000,157300993,STK
32,012450,KR7012450003,한화에어로스페이스,KOSPI,,249500,2,-1500,-0.6,253500,255500,242000,670985,166503090000,12632185000000,50630000,STK
33,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,94200,2,-1900,-1.98,96000,97000,94100,635715,60490629700,12541631628000,133138340,KSQ
34,329180,KR7329180004,HD현대중공업,KOSPI,,140400,1,1600,1.15,140500,141600,139000,150884,21159862500,12463745486400,88773116,STK
35,018260,KR7018260000,삼성에스디에스,KOSPI,,151700,1,400,0.26,150600,153800,150500,69727,10624600200,11738212260000,77377800,STK
36,096770,KR7096770003,SK이노베이션,KOSPI,,122500,1,17800,17.0,113100,126000,112700,7785340,941900756800,11727609775000,95735590,STK
37,034730,KR7034730002,SK,KOSPI,,159700,2,-7400,-4.43,165100,166900,156900,755199,120302288800,11578681669100,72502703,STK
38,009150,KR7009150004,삼성전기,KOSPI,,151700,2,-300,-0.2,151600,153500,150900,304197,46216582200,11331033683200,74693696,STK
39,033780,KR7033780008,KT&G,KOSPI,,86600,1,200,0.23,86000,86900,86000,96403,8352253200,11285928240200,130322497,STK
40,047050,KR7047050000,포스코인터내셔널,KOSPI,,62500,1,400,0.64,63400,63500,59100,2698881,164678074800,10995174250000,175922788,STK
41,017670,KR7017670001,SK텔레콤,KOSPI,,51100,2,-100,-0.2,51200,51300,51100,223918,11460459400,10975771708300,214790053,STK
42,024110,KR7024110009,기업은행,KOSPI,,13520,1,130,0.97,13390,13530,13350,508701,6845971240,10781197748880,797425869,STK
43,316140,KR7316140003,우리금융지주,KOSPI,,14330,1,190,1.34,14140,14350,14110,823998,11730050730,10641336209330,742591501,STK
44,009540,KR7009540006,HD한국조선해양,KOSPI,,148300,1,2600,1.78,147200,149700,145700,350135,51830140500,10495653102800,70773116,STK
45,267260,KR7267260008,HD현대일렉트릭,KOSPI,,289500,2,-5500,-1.86,291500,296500,287500,163086,47537214500,10435645582500,36047135,STK
46,010130,KR7010130003,고려아연,KOSPI,,499000,1,3000,0.6,494000,499000,493000,19667,9767249000,10330938217000,20703283,STK
47,323410,KR7323410001,카카오뱅크,KOSPI,,21350,1,250,1.18,21050,21450,20950,357455,7604032300,10182373024950,476926137,STK
48,090430,KR7090430000,아모레퍼시픽,KOSPI,,173000,2,-5400,-3.03,177400,178000,172300,233626,40737034400,10119247307000,58492759,STK
49,042660,KR7042660001,한화오션,KOSPI,,32100,2,-1000,-3.02,33150,33400,32050,1086285,35282460950,9834120657900,306358899,STK
50,030200,KR7030200000,KT,KOSPI,,36650,1,250,0.69,36350,36650,36350,146815,5365755750,9236594755250,252021685,STK
51,352820,KR7352820005,하이브,KOSPI,,203000,1,2500,1.25,200500,205000,199900,226315,45971522100,8455375691000,41652097,STK
52,028300,KR7028300002,HLB,KOSDAQ,중견기업부,63400,3,0,0.0,63300,64700,62700,905087,57769551000,8295596077600,130845364,KSQ
53,086280,KR7086280005,현대글로비스,KOSPI,,214500,1,500,0.23,212500,224000,211000,188396,40850647000,8043750000000,37500000,STK
54,003490,KR7003490000,대한항공,KOSPI,,21450,2,-100,-0.46,21500,21650,21350,549833,11807821950,7898333178450,368220661,STK
55,010140,KR7010140002,삼성중공업,KOSPI,,8940,2,-110,-1.22,9060,9090,8930,3007224,26996192170,7867200000000,880000000,STK
56,005830,KR7005830005,DB손해보험,KOSPI,,110000,1,3800,3.58,105800,111300,105000,86493,9452122500,7788000000000,70800000,STK
57,010950,KR7010950004,S-Oil,KOSPI,,68300,1,400,0.59,68000,68800,67500,209321,14309824700,7689404693600,112582792,STK
58,450080,KR7450080007,에코프로머티,KOSPI,,103500,2,-4800,-4.43,107100,109000,103400,681576,71902325700,7148806893000,69070598,STK
59,011790,KR7011790003,SKC,KOSPI,,176900,2,-5600,-3.07,185700,186500,175600,406018,73388589600,6698901916200,37868298,STK
60,443060,KR7443060009,HD현대마린솔루션,KOSPI,,143800,1,700,0.49,144400,147700,143400,116941,17030773300,6391910000000,44450000,STK
61,011070,KR7011070000,LG이노텍,KOSPI,,264000,2,-1000,-0.38,265000,267000,262000,58032,15383305000,6248116248000,23667107,STK
62,000100,KR7000100008,유한양행,KOSPI,,77500,1,1300,1.71,76900,79700,75900,709979,55520130600,6216202460000,80209064,STK
63,022100,KR7022100002,포스코DX,KOSPI,,39950,2,-300,-0.75,40000,40750,39400,409274,16382137000,6073787423550,152034729,STK
64,326030,KR7326030004,SK바이오팜,KOSPI,,77300,2,-100,-0.13,77000,78900,76900,63821,4973709000,6053614225000,78313250,STK
65,005387,KR7005382007,현대차2우B,KOSPI,,168700,1,200,0.12,168500,169800,167000,41064,6916821300,6032609261700,35759391,STK
66,097950,KR7097950000,CJ제일제당,KOSPI,,396000,3,0,0.0,392500,400000,388000,30057,11894011500,5961457656000,15054186,STK
67,051900,KR7051900009,LG생활건강,KOSPI,,375000,2,-6500,-1.7,382000,386000,374500,56345,21359901500,5856823875000,15618197,STK
68,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,46750,2,-250,-0.53,47100,47550,46700,207402,9738558800,5791159475750,123875069,STK
69,010120,KR7010120004,LS ELECTRIC,KOSPI,,188600,2,-5900,-3.03,193900,195400,187500,343724,65266320500,5658000000000,30000000,STK
70,267250,KR7267250009,HD현대,KOSPI,,70900,1,900,1.29,70000,71000,69600,157862,11141426500,5600609726500,78993085,STK
71,066970,KR7066970005,엘앤에프,KOSPI,,153800,1,600,0.39,153300,156000,153100,108514,16743889100,5582130704400,36294738,STK
72,036460,KR7036460004,한국가스공사,KOSPI,,60000,1,4200,7.53,59200,60000,56500,7511515,439213988400,5538780000000,92313000,STK
73,034220,KR7034220004,LG디스플레이,KOSPI,,11020,1,410,3.86,10550,11080,10390,4732679,51547784830,5510000000000,500000000,STK
74,088980,KR7088980008,맥쿼리인프라,KOSPI,,12520,2,-10,-0.08,12530,12530,12420,1348603,16826955700,5455982564600,435781355,STK
75,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,267000,2,-4000,-1.48,271000,277500,267000,114147,30902688000,5428256049000,20330547,KSQ
76,241560,KR7241560002,두산밥캣,KOSPI,,53200,1,200,0.38,53100,53900,52800,133992,7143263900,5333255631200,100249166,STK
77,009830,KR7009830001,한화솔루션,KOSPI,,30500,1,150,0.49,30500,31150,30000,730444,22337371550,5242722348000,171892536,STK
78,047810,KR7047810007,한국항공우주,KOSPI,,52800,2,-1100,-2.04,54000,54400,52600,386417,20534331300,5146685649600,97475107,STK
79,011170,KR7011170008,롯데케미칼,KOSPI,,120300,1,8000,7.12,112500,120300,112500,174185,20442404800,5145882905700,42775419,STK
80,454910,KR7454910001,두산로보틱스,KOSPI,,77400,2,-1300,-1.65,78700,80400,77100,490577,38672686200,5017066452000,64819980,STK
81,005070,KR7005070008,코스모신소재,KOSPI,,150400,2,-4900,-3.16,155100,155900,150400,143080,21831659500,4889617702400,32510756,STK
82,003230,KR7003230000,삼양식품,KOSPI,,641000,2,-32000,-4.75,678000,692000,638000,161377,107127677000,4828662615000,7533015,STK
83,001570,KR7001570001,금양,KOSPI,,82600,2,-2200,-2.59,84100,85200,82500,198895,16592051400,4794933056200,58050037,STK
84,180640,KR7180640005,한진칼,KOSPI,,71400,2,-3200,-4.29,74700,75800,71200,41881,3067186000,4766826720600,66762279,STK
85,079550,KR7079550000,LIG넥스원,KOSPI,,213500,1,2500,1.18,209500,216500,201000,296872,62115734500,4697000000000,22000000,STK
86,251270,KR7251270005,넷마블,KOSPI,,53800,2,-700,-1.28,54400,54700,53800,75429,4094338200,4624298407600,85953502,STK
87,006260,KR7006260004,LS,KOSPI,,140000,2,-1100,-0.78,141200,142800,137400,310221,43117354000,4508000000000,32200000,STK
88,064350,KR7064350002,현대로템,KOSPI,,40400,2,-500,-1.22,40500,41050,39200,1898072,75938950400,4409348637200,109142293,STK
89,028050,KR7028050003,삼성E&A,KOSPI,,22350,1,100,0.45,22300,22650,22100,458102,10296318500,4380600000000,196000000,STK
90,029780,KR7029780004,삼성카드,KOSPI,,37150,1,250,0.68,37100,37550,36850,62811,2335865100,4304157800650,115858891,STK
91,006800,KR7006800007,미래에셋증권,KOSPI,,7200,1,70,0.98,7130,7210,7080,312991,2240764250,4286278137600,595316408,STK
92,032640,KR7032640005,LG유플러스,KOSPI,,9810,1,40,0.41,9750,9840,9740,341152,3339445570,4283157451410,436611361,STK
93,011780,KR7011780004,금호석유,KOSPI,,154600,1,4300,2.86,150200,155000,148700,82261,12644757700,4278196173400,27672679,STK
94,036570,KR7036570000,엔씨소프트,KOSPI,,193800,1,3900,2.05,187600,197800,186300,87791,17075736400,4254689463600,21954022,STK
95,307950,KR7307950006,현대오토에버,KOSPI,,155000,2,-1000,-0.64,156600,159300,154000,93962,14706499100,4250717210000,27423982,STK
96,078930,KR7078930005,GS,KOSPI,,44650,1,400,0.9,44250,44750,43800,67596,3005786000,4148671627700,92915378,STK
97,021240,KR7021240007,코웨이,KOSPI,,55900,1,700,1.27,55300,56400,55300,61488,3434216600,4125398702100,73799619,STK
98,005940,KR7005940002,NH투자증권,KOSPI,,12470,1,130,1.05,12280,12470,12250,276210,3416285100,4083828968530,327492299,STK
99,005385,KR7005381009,현대차우,KOSPI,,167200,1,200,0.12,167000,167600,165400,27446,4565355100,3991396393600,23871988,STK
100,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,257000,2,-3500,-1.34,260000,262000,253000,86912,22283598500,3917289090000,15242370,KSQ
101,302440,KR7302440003,SK바이오사이언스,KOSPI,,50800,1,200,0.4,50600,51200,50200,46996,2388216000,3902849700000,76827750,STK
102,004020,KR7004020004,현대제철,KOSPI,,29200,1,250,0.86,29100,29500,28950,344459,10070765700,3896616922000,133445785,STK
103,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,93300,2,-1300,-1.37,94400,94900,93200,38326,3601869600,3880967724900,41596653,KSQ
104,272210,KR7272210006,한화시스템,KOSPI,,20450,2,-250,-1.21,21000,21000,19630,3654272,73581432820,3863401505050,188919389,STK
105,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,162800,2,-1000,-0.61,161600,165900,158100,1379116,222981235500,3818876441600,23457472,KSQ
106,377300,KR7377300009,카카오페이,KOSPI,,28350,1,100,0.35,28350,28800,28200,161970,4619263350,3814663167000,134556020,STK
107,071050,KR7071050009,한국금융지주,KOSPI,,68000,1,1000,1.49,67100,68200,66700,71892,4851574600,3789367456000,55725992,STK
